Name,Gender,DOB,HBDApproved,Child,Cat,DogOther,Active,Calm,FoodMo,Intelligent,Outgoing,Holdingshel,Address,ImageLink
Fontina,F,1-Apr-2024,N,N,Y,Y,,,Y,,Y,ASD,https://asdsingapore.com/adopt/fontina,https://asdsingapore.com/assets/images/adopts/fontina-20240730195634.jpg
Tao Bao,F,1-May-2017,N,,,Y,,,N,,N,ASD,https://asdsingapore.com/adopt/tao-bao,https://asdsingapore.com/assets/images/adopts/tao-bao-20220327145341.jpg
Boone,M,1-Dec-2021,Y,N,,,Y,,N,,Y,ASD,https://asdsingapore.com/adopt/boone,https://asdsingapore.com/assets/images/adopts/boone-20230410221315.jpeg
Adale,F,1-Nov-2022,Y,,,Y,,,N,,N,ASD,https://asdsingapore.com/adopt/adale,https://asdsingapore.com/assets/images/adopts/adale-20230501105153.jpg
Tiramisu,M,1-Sep-2019,N,,,,Y,,N,,Y,ASD,https://asdsingapore.com/adopt/tiramisu,https://asdsingapore.com/assets/images/adopts/tiramisu-20230410221728.jpeg
Bolt,M,1-Jan-2017,Y,,,Y,,,N,,N,ASD,https://asdsingapore.com/adopt/bolt,https://asdsingapore.com/assets/images/adopts/bolt-20220414112946.jpg
Haniel,F,1-Dec-2020,Y,,Y,Y,,,N,,,ASD,https://asdsingapore.com/adopt/haniel,https://asdsingapore.com/assets/images/adopts/haniel-20231015063957.JPG
Dollar,F,1-Jun-2020,N,,Y,Y,Y,,N,,,ASD,https://asdsingapore.com/adopt/dollar,https://asdsingapore.com/assets/images/adopts/dollar-20220327144305.jpg
Capri,F,1-Jan-2022,Y,,,,,,N,,,ASD,https://asdsingapore.com/adopt/capri,https://asdsingapore.com/assets/images/adopts/capri-20220610113106.jpeg
Elvis,M,1-Dec-20216,Y,,,,,,Y,,,ASD,https://asdsingapore.com/adopt/elvis,https://asdsingapore.com/assets/images/adopts/elvis-20220410193329.jpeg
Martin,M,1-Sep-2020,Y,,,,,,N,,,ASD,https://asdsingapore.com/adopt/martin,https://asdsingapore.com/assets/images/adopts/martin-20220410192446.jpg
Julius,M,1-May-2019,Y,N,,,,,N,,,ASD,https://asdsingapore.com/adopt/julius,https://asdsingapore.com/assets/images/adopts/julius-20220402125741.jpg
Micki,F,1-Nov-2018,Y,,,,,,N,,,ASD,https://asdsingapore.com/adopt/micki,https://asdsingapore.com/assets/images/adopts/micki-20220814124125.jpg
Tau Sar,M,1-Oct-2014,N,,,,Y,,N,,Y,ASD,https://asdsingapore.com/adopt/tau-sar,https://asdsingapore.com/assets/images/adopts/tau-sar-20220119085543.jpg
Leen Yong,M,1-Oct-2013,N,,,,Y,,N,,Y,ASD,https://asdsingapore.com/adopt/leen-yong,https://asdsingapore.com/assets/images/adopts/leen-yong-20220119085741.jpg
Jim,M,1-Sep-2018,Y,,,,Y,,Y,,Y,ASD,https://asdsingapore.com/adopt/jim,https://asdsingapore.com/assets/images/adopts/jim-20240129172912.jpg
